Symbol,Name,Exchange,Latest,Sector,Industry,"9M %Chg"
CNP,"Centerpoint Energy",NYSE,43.18,Utilities,"Utility - Electric Power",+8.74%
COF,"Capital One Financial",NYSE,208.78,Finance,"Finance - Consumer Loans",-2.97%
COHR,"Coherent Corp",NYSE,292,"Business Services","Technology Services",+159.84%
COIN,"Coinbase Global Cl A",NASDAQ,165.66,Finance,"Finance - Misc Services",-51.00%
COO,"Cooper Companies",NASDAQ,70.77,Medical,"Medical - Dental Suppliers",+3.03%
COP,Conocophillips,NYSE,110.74,Oils-Energy,"Oil - US Integrated",+26.11%
COR,"Cencora Inc",NYSE,302.03,Medical,"Medical Services",-5.01%
COST,"Costco Wholesale",NASDAQ,922.52,Retail-Wholesale,"Retail - Discount",-3.20%
CPAY,"Corpay Inc",NYSE,363.99,"Business Services","Financial Transaction Services",+26.81%
CPRT,"Copart Inc",NASDAQ,27.72,"Business Services","Auction Valuation Services",-37.65%
CPT,"Camden Property Trust",NYSE,112.13,Finance,"REIT - Equity Trust Resident",+10.72%
CRH,"CRH Plc ADR",NYSE,104.97,Construction,"Building & Construction - Misc",-12.02%
CRL,"Charles River Laboratories",NYSE,227.38,Medical,"Medical Services",+32.50%
CRM,"Salesforce Inc",NYSE,167.32,"Computers and Technology","Internet - Software",-29.03%
CRWD,"Crowdstrike Holdings",NASDAQ,207.46,"Computers and Technology",Security,+70.62%
CSCO,"Cisco Systems Inc",NASDAQ,111.58,"Computers and Technology","Computer - Networks",+60.77%
CSGP,"Costar Group Inc",NASDAQ,28.51,"Computers and Technology","IT Services",-61.78%
CSX,"CSX Corp",NASDAQ,49.13,Transportation,"Transportation - Rail",+35.44%
CTAS,"Cintas Corp",NASDAQ,191.38,"Consumer Staples","Textile - Apparel",+3.00%
CTSH,"Cognizant Tech Sol",NASDAQ,43.14,"Computers and Technology","IT Services",-34.94%
CTVA,"Corteva Inc",NYSE,83.95,"Consumer Staples","Agriculture Operations",+35.26%
CVNA,"Carvana Company Cl A",NYSE,70.76,Retail-Wholesale,"Internet Commerce",-1.09%
CVS,"CVS Corp",NYSE,106.42,Medical,"Medical Services",+32.89%
CVX,"Chevron Corp",NYSE,179.66,Oils-Energy,"Oil - International Integrated",+18.18%
D,"Dominion Energy Inc",NYSE,70.92,Utilities,"Utility - Electric Power",+15.12%
DAL,"Delta Air Lines Inc",NYSE,86,Transportation,"Transportation - Airline",+39.04%
DASH,"Doordash Cl A",NASDAQ,192.98,"Computers and Technology","Internet - Services",-29.17%
DD,"Dupont Denemours Inc",NYSE,133.74,"Basic Materials","Chemical - Diversified",+35.72%
DDOG,"Datadog Cl A",NASDAQ,263.73,"Computers and Technology","Internet - Software",+64.17%
DE,"Deere & Company",NYSE,587.54,"Industrial Products","Machinery - Farm",+30.66%
DECK,"Deckers Outdoor Corp",NYSE,107.4,Retail-Wholesale,"Retail - Apparel & Shoes",+11.59%
DELL,"Dell Technologies Inc",NYSE,398.55,"Computers and Technology","Computer - Micro",+158.24%
DG,"Dollar General Corp",NYSE,122.41,Retail-Wholesale,"Retail - Discount",+15.10%
DGX,"Quest Diagnostics Inc",NYSE,204.05,Medical,"Medical - Outpatient & Hm Care",+9.25%
DHI,"D.R. Horton",NYSE,152.32,Construction,"Building - Residential & Comm",-2.28%
DHR,"Danaher Corp",NYSE,200.96,Medical,"Medical Services",-2.86%
DIS,"Walt Disney Company",NYSE,97.4,"Consumer Discretionary","Media Conglomerates",-12.52%
DLR,"Digital Realty Trust",NYSE,174.18,Finance,"REIT - Equity Trust Other",-0.81%
DLTR,"Dollar Tree Inc",NASDAQ,127.54,Retail-Wholesale,"Retail - Discount",+32.40%
DOC,"Healthpeak Properties",NYSE,21.88,Finance,"REIT - Equity Trust Other",+17.75%
DOV,"Dover Corp",NYSE,212.31,"Industrial Products","Machinery - General Industrial",+29.07%
DOW,"Dow Inc",NYSE,29.45,"Basic Materials","Chemical - Diversified",+32.57%
DPZ,"Domino's Pizza Inc",NASDAQ,313.96,Retail-Wholesale,"Retail - Restaurants",-24.79%
DRI,"Darden Restaurants",NYSE,198.94,Retail-Wholesale,"Retail - Restaurants",+5.57%
